Gene stable ID,Transcript stable ID,Gene name,Gene description,Transcript type,Transcript name,Gene type,Phenotype description,Study external reference
ENSG00000125863,ENST00000347364,MKKS,MKKS centrosomal shuttling protein [Source:HGNC Symbol;Acc:HGNC:7108],protein_coding,MKKS-201,protein_coding,Bardet-Biedl syndrome,110
ENSG00000125863,ENST00000651692,MKKS,MKKS centrosomal shuttling protein [Source:HGNC Symbol;Acc:HGNC:7108],protein_coding,MKKS-203,protein_coding,Bardet-Biedl syndrome,110
ENSG00000125863,ENST00000652676,MKKS,MKKS centrosomal shuttling protein [Source:HGNC Symbol;Acc:HGNC:7108],protein_coding_CDS_not_defined,MKKS-204,protein_coding,Bardet-Biedl syndrome,110
ENSG00000125863,ENST00000399054,MKKS,MKKS centrosomal shuttling protein [Source:HGNC Symbol;Acc:HGNC:7108],protein_coding,MKKS-202,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000563290,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding,SCAPER-207,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000538941,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding,SCAPER-203,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000562948,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],retained_intron,SCAPER-205,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000563246,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding_CDS_not_defined,SCAPER-206,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000303521,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],retained_intron,SCAPER-201,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000567601,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding_CDS_not_defined,SCAPER-217,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000569395,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding_CDS_not_defined,SCAPER-222,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000568428,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding_CDS_not_defined,SCAPER-220,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000564757,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],nonsense_mediated_decay,SCAPER-213,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000563688,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],retained_intron,SCAPER-208,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000569784,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding_CDS_not_defined,SCAPER-223,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000565507,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],nonsense_mediated_decay,SCAPER-215,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000564590,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding,SCAPER-212,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000565970,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding,SCAPER-216,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000564022,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding,SCAPER-210,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000568549,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],nonsense_mediated_decay,SCAPER-221,protein_coding,Bardet-Biedl syndrome,110
